Rank	Name	Platform	Year	Genre	Sales
40	Donkey Kong Country	SNES	1994	Platform	4.36
41	Animal Crossing: New Leaf	3DS	2012	Simulation	2.01
42	Mario Party DS	DS	2007	Misc	4.46
43	Super Mario Kart	SNES	1992	Racing	3.54
44	Wii Party	Wii	2010	Misc	1.79
45	Mario Party 8	Wii	2007	Misc	3.81
46	Pokemon Black 2/Pokemon White 2	DS	2012	Role-Playing	2.91
47	GoldenEye 007	N64	1997	Shooter	5.8
48	Pokemon Platinum Version	DS	2008	Role-Playing	2.82
49	Super Mario Galaxy 2	Wii	2010	Platform	3.66
50	The Legend of Zelda: Ocarina of Time	N64	1998	Action	4.1
51	Super Mario Bros. 2	NES	1988	Platform	5.39
52	Super Smash Bros. for Wii U and 3DS	3DS	2014	Fighting	3.24
53	The Legend of Zelda: Twilight Princess	Wii	2006	Action	3.83
54	Super Smash Bros. Melee	GC	2001	Fighting	4.41
55	Mario Kart 8	WiiU	2014	Racing	3.13
56	Mario Kart: Double Dash!!	GC	2003	Racing	4.12
57	Big Brain Academy	DS	2005	Misc	1.67
58	Donkey Kong Country Returns	Wii	2010	Platform	3.25
59	The Legend of Zelda	NES	1986	Action	3.74
60	Pokemon Emerald Version	GBA	2004	Role-Playing	2.57
61	Pokemon Crystal Version	GB	2000	Role-Playing	2.55
62	Super Mario Sunshine	GC	2002	Platform	4.01
63	Dragon Quest IX: Sentinels of the Starry Skies	DS	2009	Role-Playing	0.66
64	Tetris	NES	1988	Puzzle	2.97
65	Super Smash Bros.	N64	1999	Fighting	2.95
66	Super Mario Advance	GBA	2001	Platform	3.14
67	Mario Kart: Super Circuit	GBA	2001	Racing	2.62
68	Super Mario World	GBA	2001	Platform	3.21
69	Pokemon Stadium	N64	1999	Strategy	3.18
70	Dr. Mario	GB	1989	Puzzle	2.18
71	Pokemon Pinball	GB	1999	Misc	3.02
72	Donkey Kong 64	N64	1999	Platform	3.33
73	Professor Layton and the Curious Village	DS	2007	Puzzle	1.22
74	Super Mario Bros. 3	GBA	2003	Platform	2.93
75	New Super Mario Bros. U	WiiU	2012	Platform	2.32
76	Super Mario Land 3: Wario Land	GB	1994	Platform	2.49
77	The Legend of Zelda: Phantom Hourglass	DS	2007	Action	1.9
78	Donkey Kong Country 2: Diddys Kong Quest	SNES	1995	Platform	2.1
79	Tomodachi Life	3DS	2013	Simulation	0.96
80	Kirbys Dream Land	GB	1992	Platform	2.71
81	Super Mario Bros.	GB	1999	Platform	3.4
82	Super Smash Bros. for Wii U and 3DS	WiiU	2014	Fighting	2.59
83	Links Crossbow Training	Wii	2007	Shooter	3.06
84	Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness	DS	2007	Role-Playing	1.85
85	Diddy Kong Racing	N64	1997	Racing	2.91
86	Dr. Mario	NES	1990	Puzzle	2.62
87	Animal Crossing: City Folk	Wii	2008	Simulation	1.87
88	The Legend of Zelda: A Link to the Past	SNES	1991	Action	2.42
89	The Legend of Zelda: The Wind Waker	GC	2002	Action	2.6
90	Luigis Mansion: Dark Moon	3DS	2013	Action	1.78
91	Splatoon	WiiU	2015	Shooter	1.55
92	Nintendo Land	WiiU	2012	Misc	2.55
93	Zelda II: The Adventure of Link	NES	1987	Adventure	2.19
94	Super Mario 3D World	WiiU	2013	Platform	2.11
95	The Legend of Zelda: Ocarina of Time	3DS	2011	Action	2.03
96	Excitebike	NES	1984	Racing	2.04
97	Super Mario World 2: Yoshis Island	SNES	1995	Platform	1.65
98	The Legend of Zelda: Skyward Sword	Wii	2011	Action	2.14
99	Star Fox 64	N64	1997	Shooter	2.78
100	Golf	NES	1984	Sports	1.22
